frame_id,timestamp,image_path,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,gripper_tooldo1,gripper_tooldo2,robot_mode
0,1769415228.3845775,frame_000000.jpg,-82.62051391601562,-3.5606377124786377,-4.900874614715576,11.624908447265625,88.84574890136719,117.42668151855469,-69.28817749023438,-108.88880920410156,616.7741088867188,83.17381286621094,62.34228515625,0.17111341655254364,0,0,7
1,1769415229.9143147,frame_000001.jpg,-73.25621032714844,4.079000473022461,-9.055766105651855,8.322830200195312,89.43695068359375,103.84346008300781,-60.09238052368164,-84.8281478881836,618.0021362304688,76.300048828125,75.73363494873047,2.8871071338653564,0,0,7
2,1769415230.121981,frame_000002.jpg,-73.25647735595703,4.078762531280518,-9.055752754211426,8.307723999023438,89.39369201660156,103.84620666503906,-60.134681701660156,-84.87069702148438,617.985107421875,76.36544799804688,75.73219299316406,2.9071977138519287,0,0,7
3,1769415230.3424046,frame_000003.jpg,-73.25653076171875,4.078640460968018,-9.055732727050781,8.219146728515625,89.10255432128906,103.84552001953125,-60.427310943603516,-85.12394714355469,617.8864135742188,76.73047637939453,75.73780822753906,2.970216989517212,0,0,7
4,1769415231.2645917,frame_000004.jpg,-73.25643157958984,4.077783584594727,-9.06257152557373,5.9923553466796875,88.71528625488281,103.84552001953125,-59.70966339111328,-89.1393051147461,615.3225708007812,85.80447387695312,76.0960693359375,11.385641098022461,0,0,5
5,1769415231.504937,frame_000005.jpg,-73.25642395019531,3.6460468769073486,-9.126375198364258,5.9168243408203125,88.68507385253906,103.84620666503906,-58.64612579345703,-92.8016357421875,614.6124877929688,88.17842864990234,76.13703918457031,13.660064697265625,0,0,7
6,1769415233.2611828,frame_000006.jpg,-73.25699615478516,-11.839978218078613,-10.087311744689941,1.2119293212890625,88.01559448242188,103.84346008300781,-22.766366958618164,-214.89010620117188,568.50537109375,149.06007385253906,65.65933227539062,71.27999877929688,0,0,5
7,1769415233.4751933,frame_000007.jpg,-73.25702667236328,-12.142571449279785,-10.087176322937012,1.2860870361328125,88.011474609375,103.8482666015625,-22.18454360961914,-216.84181213378906,567.5787963867188,149.37298583984375,65.47144317626953,71.55929565429688,0,0,7
8,1769415235.0222266,frame_000008.jpg,-73.25791931152344,-24.311248779296875,-10.104029655456543,-0.102996826171875,88.33763122558594,103.84963989257812,1.6551055908203125,-294.7301330566406,513.2855834960938,162.25413513183594,53.50667953491211,83.01851654052734,0,0,5
9,1769415235.2358563,frame_000009.jpg,-73.25787353515625,-24.591304779052734,-10.103879928588867,-0.020599365234375,88.37471008300781,103.84963989257812,2.1697142124176025,-296.2840576171875,512.064208984375,162.35479736328125,53.317325592041016,83.12989044189453,0,0,7
