frame_id,timestamp,image_path_OBS_IMAGE_1,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,gripper_tooldo1,gripper_tooldo2,robot_mode
0,1778667130.9225373,OBS_IMAGE_1/frame_000000.jpg,81.1624526977539,48.440059661865234,37.67292785644531,1.0155487060546875,-87.27058410644531,163.1476593017578,21.321378707885742,-413.5902099609375,237.15512084960938,176.4590606689453,-1.7761127948760986,8.138117790222168,0,0,5
1,1778667130.9801579,OBS_IMAGE_1/frame_000001.jpg,81.16246032714844,48.440101623535156,37.67290115356445,1.0107421875,-87.27058410644531,163.14834594726562,21.320587158203125,-413.5956115722656,237.16371154785156,176.45449829101562,-1.774755835533142,8.137580871582031,0,0,5
2,1778667131.0370407,OBS_IMAGE_1/frame_000002.jpg,81.16243743896484,48.44010925292969,37.67294692993164,1.0128021240234375,-87.2698974609375,163.14422607421875,21.321622848510742,-413.59344482421875,237.15972900390625,176.45619201660156,-1.775774359703064,8.14165210723877,0,0,5
3,1778667131.095863,OBS_IMAGE_1/frame_000003.jpg,81.16244506835938,48.440120697021484,37.67295455932617,1.017608642578125,-87.27195739746094,163.14834594726562,21.320032119750977,-413.5877380371094,237.15072631835938,176.4615478515625,-1.7754706144332886,8.137280464172363,0,0,5
4,1778667131.1526554,OBS_IMAGE_1/frame_000004.jpg,81.16244506835938,48.44013977050781,37.672943115234375,1.0107421875,-87.27058410644531,163.1462860107422,21.32048797607422,-413.59564208984375,237.16323852539062,176.4545135498047,-1.7746522426605225,8.13962173461914,0,0,5
5,1778667131.2103148,OBS_IMAGE_1/frame_000005.jpg,81.16244506835938,48.440155029296875,37.672935485839844,1.014862060546875,-87.27195739746094,163.1462860107422,21.319549560546875,-413.5908508300781,237.15557861328125,176.4588623046875,-1.774545431137085,8.139418601989746,0,0,5
6,1778667131.26732,OBS_IMAGE_1/frame_000006.jpg,81.16246032714844,48.44013595581055,37.672977447509766,1.0182952880859375,-87.27195739746094,163.14903259277344,21.320249557495117,-413.58697509765625,237.1492919921875,176.46224975585938,-1.7757233381271362,8.136587142944336,0,0,5
7,1778667131.3195033,OBS_IMAGE_1/frame_000007.jpg,81.16240692138672,48.440128326416016,37.672969818115234,1.01348876953125,-87.27401733398438,163.14971923828125,21.31661033630371,-413.5919494628906,237.1580047607422,176.45826721191406,-1.7723908424377441,8.13587474822998,0,0,5
8,1778667131.3756068,OBS_IMAGE_1/frame_000008.jpg,81.16244506835938,48.44013977050781,37.67298889160156,1.0169219970703125,-87.27401733398438,163.14834594726562,21.317447662353516,-413.5881042480469,237.1515655517578,176.46153259277344,-1.7733182907104492,8.137177467346191,0,0,5
9,1778667131.4329875,OBS_IMAGE_1/frame_000009.jpg,81.16242980957031,48.440155029296875,37.67298126220703,1.0169219970703125,-87.27333068847656,163.1462860107422,21.31816864013672,-413.5882568359375,237.1515350341797,176.46128845214844,-1.7738490104675293,8.139261245727539,0,0,5
