frame_id,timestamp,image_path_OBS_IMAGE_1,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,gripper_tooldo1,gripper_tooldo2,robot_mode
0,1778667558.5964446,OBS_IMAGE_1/frame_000000.jpg,82.22769927978516,61.52142333984375,18.640575408935547,6.9261932373046875,-87.33169555664062,164.2174530029297,25.854137420654297,-435.6723937988281,218.45462036132812,176.470703125,-1.7721195220947266,8.132673263549805,0,0,5
1,1778667558.6539626,OBS_IMAGE_1/frame_000001.jpg,82.2276840209961,61.52139663696289,18.640548706054688,6.92413330078125,-87.32757568359375,164.22088623046875,25.85866928100586,-435.67535400390625,218.4589385986328,176.4676513671875,-1.7757086753845215,8.129538536071777,0,0,5
2,1778667558.7144692,OBS_IMAGE_1/frame_000002.jpg,82.2276840209961,61.52143859863281,18.640562057495117,6.922760009765625,-87.32894897460938,164.22157287597656,25.856809616088867,-435.67669677734375,218.46099853515625,176.46678161621094,-1.7740706205368042,8.12881088256836,0,0,5
3,1778667558.7721343,OBS_IMAGE_1/frame_000003.jpg,82.22769927978516,61.52140426635742,18.640548706054688,6.9207000732421875,-87.32757568359375,164.2181396484375,25.858251571655273,-435.6791687011719,218.46514892578125,176.46426391601562,-1.7746005058288574,8.132397651672363,0,0,5
4,1778667558.8292627,OBS_IMAGE_1/frame_000004.jpg,82.2276840209961,61.52143096923828,18.640562057495117,6.922760009765625,-87.32757568359375,164.2188262939453,25.85845947265625,-435.6769104003906,218.46112060546875,176.46630859375,-1.7752184867858887,8.131635665893555,0,0,5
5,1778667558.8865216,OBS_IMAGE_1/frame_000005.jpg,82.22769927978516,61.52145767211914,18.640562057495117,6.9234466552734375,-87.32894897460938,164.2181396484375,25.857013702392578,-435.6759338378906,218.4595947265625,176.4673614501953,-1.7740528583526611,8.132231712341309,0,0,5
6,1778667558.9434607,OBS_IMAGE_1/frame_000006.jpg,82.22772216796875,61.52141189575195,18.64055633544922,6.92138671875,-87.32688903808594,164.2188262939453,25.85938835144043,-435.6784973144531,218.46385192871094,176.46478271484375,-1.7754942178726196,8.131758689880371,0,0,5
7,1778667559.0014296,OBS_IMAGE_1/frame_000007.jpg,82.22772979736328,61.52145767211914,18.64055633544922,6.922760009765625,-87.32757568359375,164.21676635742188,25.858816146850586,-435.6769104003906,218.46095275878906,176.4662628173828,-1.775097131729126,8.133739471435547,0,0,5
8,1778667559.0587811,OBS_IMAGE_1/frame_000008.jpg,82.22770690917969,61.52143859863281,18.640575408935547,6.920013427734375,-87.32757568359375,164.2181396484375,25.858198165893555,-435.679931640625,218.4660186767578,176.4636688232422,-1.7744290828704834,8.13242244720459,0,0,5
9,1778667559.1171052,OBS_IMAGE_1/frame_000009.jpg,82.22772216796875,61.521419525146484,18.640575408935547,6.9220733642578125,-87.32551574707031,164.2188262939453,25.861141204833984,-435.6779479980469,218.4625244140625,176.465087890625,-1.7770088911056519,8.131818771362305,0,0,5
